State 	Coalescent	pop.size.prior	 sum 	pop.size.changepoints	 mc.speed 
4379000	312.8114	-91.3638275319014	-91.3638275319014	10	37037.04
4380000	311.8624	-90.99772948438864	-90.99772948438864	10	32258.06
4381000	313.449	-90.97611302545761	-90.97611302545761	10	35714.29
4382000	313.244	-91.48567873419321	-91.48567873419321	10	37037.04
4383000	312.9432	-92.70177398630226	-92.70177398630226	10	37037.04
4384000	313.4312	-93.86770496339464	-93.86770496339464	10	34482.76
4385000	312.863	-93.64108528924518	-93.64108528924518	10	37037.04
4386000	313.3893	-94.67310255744741	-94.67310255744741	10	35714.29
4387000	313.4331	-95.42781635819287	-95.42781635819287	10	37037.04
4388000	312.3834	-95.58764144654731	-95.58764144654731	10	35714.29
4389000	313.0573	-93.46413401207394	-93.46413401207394	10	32258.06
4390000	313.0305	-93.362406778485	-93.362406778485	10	37037.04
4391000	312.2942	-92.20699376538755	-92.20699376538755	10	33333.33
4392000	310.8214	-92.58183350068663	-92.58183350068663	10	35714.29
4393000	310.9674	-91.54263806321217	-91.54263806321217	10	34482.76
4394000	312.3023	-90.80308697899751	-90.80308697899751	10	32258.06
4395000	313.153	-91.09083373982266	-91.09083373982266	10	34482.76
4396000	313.5147	-91.06969366019274	-91.06969366019274	10	35714.29
4397000	313.2437	-91.42233842457223	-91.42233842457223	10	34482.76
4398000	312.8496	-91.20851772177134	-91.20851772177134	10	37037.04
4399000	312.8884	-93.03789395925438	-93.03789395925438	10	32258.06
4400000	313.1539	-93.63856484702148	-93.63856484702148	10	28571.43
4401000	312.8908	-92.25645468863253	-92.25645468863253	10	30303.03
4402000	312.8499	-93.98734318221251	-93.98734318221251	10	35714.29
4403000	313.5091	-93.08173559659997	-93.08173559659997	10	37037.04
4404000	313.5192	-93.3171781452888	-93.3171781452888	10	34482.76
4405000	313.4972	-92.68959713723748	-92.68959713723748	10	29411.76
4406000	313.361	-92.96366195349269	-92.96366195349269	10	37037.04
4407000	313.2068	-92.04684157565956	-92.04684157565956	10	33333.33
4408000	313.3332	-90.99754795424658	-90.99754795424658	10	35714.29
4409000	313.4958	-92.26559283096603	-92.26559283096603	10	35714.29
4410000	313.01	-93.05197707286044	-93.05197707286044	10	35714.29
4411000	313.0804	-94.31370513207264	-94.31370513207264	10	35714.29
4412000	312.4724	-93.4137298313735	-93.4137298313735	10	37037.04
4413000	313.0493	-92.1622898147116	-92.1622898147116	10	34482.76
4414000	313.2347	-94.13731435088052	-94.13731435088052	10	35714.29
4415000	313.3056	-93.44741170481427	-93.44741170481427	10	35714.29
4416000	313.3998	-93.53010253007011	-93.53010253007011	10	37037.04
4417000	312.33	-92.32315464256011	-92.32315464256011	10	33333.33
4418000	311.3649	-91.21184522265868	-91.21184522265868	10	34482.76
4419000	312.6013	-91.60893405263809	-91.60893405263809	10	32258.06
4420000	313.2818	-91.47336056440396	-91.47336056440396	10	32258.06
4421000	313.2143	-90.42771805035618	-90.42771805035618	10	34482.76
4422000	313.0599	-91.7117111454613	-91.7117111454613	10	37037.04
4423000	313.3885	-92.01659804833679	-92.01659804833679	10	35714.29
4424000	313.1787	-93.98445841610636	-93.98445841610636	10	37037.04
4425000	312.1533	-95.12315558348939	-95.12315558348939	10	33333.33
4426000	313.4341	-94.02321035037876	-94.02321035037876	10	35714.29
4427000	313.3244	-92.97356151830068	-92.97356151830068	10	37037.04
4428000	313.4128	-94.18963705671214	-94.18963705671214	10	37037.04
4429000	313.2191	-92.95133084675143	-92.95133084675143	10	33333.33
4430000	313.1278	-93.36797931727453	-93.36797931727453	10	32258.06
4431000	313.4019	-94.01903295112098	-94.01903295112098	10	37037.04
4432000	313.3695	-92.58213670402151	-92.58213670402151	10	34482.76
4433000	313.0102	-93.14395289153951	-93.14395289153951	10	30303.03
4434000	313.3645	-94.74689295753066	-94.74689295753066	10	35714.29
4435000	313.1543	-94.99069541120657	-94.99069541120657	10	37037.04
4436000	313.5108	-94.44777143588384	-94.44777143588384	10	37037.04
4437000	311.9883	-92.16630171790129	-92.16630171790129	10	35714.29
4438000	312.9789	-92.48746672457361	-92.48746672457361	10	34482.76
4439000	313.0849	-93.39431966540144	-93.39431966540144	10	37037.04
4440000	313.2605	-93.48617850948666	-93.48617850948666	10	37037.04
4441000	313.4826	-95.7002869538795	-95.7002869538795	10	37037.04
4442000	313.3939	-95.33818147960305	-95.33818147960305	10	34482.76
4443000	313.372	-94.740777704907	-94.740777704907	10	37037.04
4444000	313.2149	-93.4743928729221	-93.4743928729221	10	35714.29
4445000	313.3079	-94.01883019108035	-94.01883019108035	10	37037.04
4446000	313.1331	-96.53760966127295	-96.53760966127295	10	35714.29
4447000	313.3123	-96.0667715160307	-96.0667715160307	10	37037.04
4448000	313.4526	-94.3974410312237	-94.3974410312237	10	35714.29
4449000	312.3055	-95.27900552820496	-95.27900552820496	10	32258.06
4450000	313.0258	-95.35593943633877	-95.35593943633877	10	32258.06
4451000	312.2576	-94.71078537996016	-94.71078537996016	10	37037.04
4452000	313.0354	-97.95306821802048	-97.95306821802048	10	35714.29
4453000	311.8079	-98.61347805432588	-98.61347805432588	10	34482.76
4454000	312.1619	-97.31909851923034	-97.31909851923034	10	34482.76
4455000	312.0054	-96.90028237023124	-96.90028237023124	10	35714.29
4456000	312.655	-94.53944638581184	-94.53944638581184	10	34482.76
4457000	313.514	-94.62232144798223	-94.62232144798223	10	37037.04
4458000	313.0028	-95.6010488200838	-95.6010488200838	10	31250.0
4459000	313.0901	-94.7204042689662	-94.7204042689662	10	37037.04
4460000	313.2387	-92.59420302408817	-92.59420302408817	10	35714.29
4461000	313.2656	-92.80972667842927	-92.80972667842927	10	32258.06
4462000	313.493	-94.28619536617009	-94.28619536617009	10	35714.29
4463000	313.4605	-93.68635697476864	-93.68635697476864	10	35714.29
4464000	313.3594	-92.78465418786438	-92.78465418786438	10	37037.04
4465000	313.4155	-92.08614534248827	-92.08614534248827	10	35714.29
4466000	313.4417	-95.64609063680531	-95.64609063680531	10	34482.76
4467000	313.4978	-93.47143154799348	-93.47143154799348	10	32258.06
4468000	312.804	-93.24915619362993	-93.24915619362993	10	35714.29
4469000	313.1569	-94.03944477500654	-94.03944477500654	10	35714.29
4470000	313.505	-93.5471324628121	-93.5471324628121	10	33333.33
4471000	313.2847	-92.68162488568314	-92.68162488568314	10	35714.29
