State 	ExpPrior[ RecRate ]	Coalescent	dataLikelihood	popSize	RecRate	a.freq	c.freq	g.freq	t.freq 	KappaR	KappaY	root.height	visible.height	visible.recombs	total.recombs	num.patterns	num.nodes	 mc.speed 
310000	-10.075	229.805	-69008.1095469262	0.000633893	171.403603	0.318128866594996	0.18087427554985427	0.18323096581826784	0.31776589203688177	2.096313	1.141971	0.0031210968654844374	0.0031210968654844374	8	9	12486	42	2875.22
315000	-14.2808	225.3936	-68993.92863221174	0.000785579	276.547069	0.31991327006235776	0.18337003405936084	0.18314352877145396	0.31357316710682764	2.184257	1.231337	0.0041788435458898895	0.003628560283673933	9	9	14145	46	2888.5
320000	-9.1428	223.6299	-69015.51503942214	0.000675712	148.097409	0.3167675262113025	0.18333216848138176	0.18259523025187108	0.3173050750554447	1.937575	0.739628	0.00326801162130019	0.00326801162130019	7	9	10317	40	2873.56
325000	-8.7125	236.0253	-69008.60390486282	0.000724643	137.341818	0.31538743960927895	0.18470146190562783	0.18301931822848186	0.3168917802566112	1.821596	0.759959	0.0031801321699104802	0.003064777550653333	8	10	13498	43	2801.12
330000	-15.5908	276.294	-69002.690552	0.000582701	309.29697	0.31743140304906126	0.1832796146798024	0.18461804583161098	0.3146709364395253	1.951214	0.990588	0.002439770974048469	0.002439770974048469	12	13	19883	51	2913.75
335000	-10.4673	200.3894	-69016.22613897774	0.000649922	181.211194	0.31774049920461256	0.18307645100543882	0.1846969876062458	0.3144860621837028	2.273354	1.089893	0.0028228418296528694	0.0028228418296528694	7	7	11941	42	2826.46
340000	-11.8009	176.3016	-69026.12770800173	0.000537684	214.551797	0.31517162044887465	0.18344542548129747	0.18571158349148353	0.31567137057834427	1.907782	1.324491	0.0034026377166373896	0.0034026377166373896	5	5	10316	33	2891.84
345000	-12.8941	200.0883	-69012.0690024418	0.0009691	241.879721	0.3188224762948157	0.18147794906051995	0.185108170323198	0.31459140432146643	1.497753	1.062567	0.0029854649851767836	0.0029854649851767836	7	7	10596	40	2866.97
350000	-9.2997	200.3799	-68999.42912245015	0.000723623	152.02126	0.31698825372671124	0.1810030160735628	0.1842767180491262	0.3177320121505997	2.002727	1.075925	0.002946285079012143	0.002946285079012143	6	7	10863	41	2880.18
355000	-11.358	219.844	-68998.87535447115	0.00058591	203.478882	0.3160367418400089	0.18224788163727604	0.18309929806321865	0.3186160784594963	1.685499	0.882791	0.003702229408440682	0.0031465936764587246	8	9	17606	43	2799.55
360000	-11.037	209.5644	-69004.28201026157	0.000993463	195.452926	0.31525362024122183	0.1826241912927141	0.18206397017498746	0.32005821829107667	1.601691	1.230944	0.003742993620330111	0.003742993620330111	7	8	11384	42	2906.98
365000	-14.076	193.8146	-69003.47047252138	0.000640172	271.427371	0.3171467883669685	0.18248589074066643	0.18581354524952653	0.3145537756428385	1.703303	0.671302	0.003003055856339831	0.003003055856339831	6	6	10472	40	2721.83
370000	-9.6603	211.9709	-69016.05081835338	0.000581199	161.036037	0.31702077803096784	0.1851965248199266	0.18536934413047385	0.3124133530186319	2.177495	1.392475	0.003339128218076084	0.003339128218076084	7	8	13426	42	2756.34
375000	-13.1592	188.5153	-69023.32175039002	0.000984282	248.507256	0.3147387936401508	0.18329890097452667	0.18500362377724056	0.316958681608082	2.080109	0.937378	0.003375418693563448	0.003375418693563448	6	6	12166	32	2692.51
380000	-12.3369	212.3585	-69012.02503873294	0.000756054	227.950725	0.313643247380158	0.18493597582634336	0.18502273310767464	0.316398043685824	1.896142	0.720372	0.003055989074545451	0.003055989074545451	8	8	15507	45	2858.78
385000	-6.5373	186.9149	-69001.70419338888	0.00074209	82.961798	0.3129934161755433	0.18669727333121455	0.18468668691653795	0.31562262357670423	1.920142	0.894285	0.003157104529571669	0.003157104529571669	6	6	9354	40	2692.51
390000	-5.5456	189.297	-68993.71029255404	0.000754668	58.168627	0.3151123137762008	0.18351939353199015	0.1844055950730844	0.3169626976187247	1.852352	0.834509	0.003404755072078073	0.003404755072078073	7	7	12513	43	2682.4
395000	-11.9668	230.8115	-69001.83100397345	0.000519657	218.699245	0.31678553401321896	0.1835957272953567	0.18612398916125966	0.3134947495301646	1.598254	1.019557	0.003404411340121975	0.003404411340121975	9	9	9532	44	2767.02
400000	-12.1651	219.6106	-68997.36026264074	0.001104072	223.655051	0.3161881839339717	0.1838219769680753	0.18443005156564957	0.3155597875323034	1.743324	0.870694	0.003991980253877736	0.003991980253877736	9	9	13449	44	2862.05
405000	-9.5691	212.4251	-69005.85375975331	0.001368949	158.755612	0.31718555049894215	0.180759292357783	0.18334982092834404	0.3187053362149307	2.356428	1.043697	0.0033143373699284885	0.0033143373699284885	9	9	13767	45	2925.69
410000	-11.1371	193.0623	-69009.99275005242	0.001152384	197.956329	0.3159198600435292	0.18471108821605364	0.18724724704099113	0.31212180469942596	2.39835	0.656001	0.003032846482486462	0.003032846482486462	7	7	10407	44	2857.14
415000	-6.0666	172.1616	-69023.66766981062	0.000437693	71.192134	0.3155172706338608	0.1846578012384537	0.18439400700638878	0.3154309211212968	1.592277	0.80175	0.0038615829685248845	0.0038615829685248845	5	5	10219	35	2705.63
420000	-10.325	219.4504	-68999.10747936719	0.000553505	177.65311	0.31760596767724536	0.17991625802902686	0.18424520329268745	0.3182325710010403	1.832128	1.00929	0.0028361513039079677	0.0028361513039079677	9	9	12658	42	2837.68
425000	-15.6797	246.9497	-68998.18127307859	0.000973733	311.521251	0.31439539888512036	0.18473064312450121	0.1879229717178768	0.31295098627250156	1.767588	1.760758	0.0033262209045830504	0.002834650159851261	10	11	12947	45	2847.38
430000	-7.2647	228.3792	-68999.03950537322	0.000713203	101.146392	0.3170121748563291	0.18148249259112323	0.1857946526511262	0.3157106799014215	2.0113	0.844594	0.0029038530753087667	0.0029038530753087667	9	10	11652	40	2862.05
435000	-15.7766	239.2708	-68994.35370018233	0.00058557	313.942228	0.31692317472521886	0.18310907973559318	0.18619598353041517	0.3137717620087729	1.642684	1.081673	0.0030421321382299873	0.0030421321382299873	10	10	15854	50	2548.42
