State 	ExpPrior[ RecRate ]	Coalescent	dataLikelihood	popSize	RecRate	Kappa	root.height	visible.height	visible.recombs	total.recombs	num.patterns	num.nodes	 mc.speed 
722000	-3.9059	34.4634	-4006.8881721157923	0.02284815	17.176023	3.665981	0.03595028411170482	0.03595028411170482	2	2	534	16	27777.78
723000	-3.7413	52.8393	-4001.1207780071495	0.01708737	13.061296	2.554425	0.055900160340689994	0.04596272615034233	5	5	534	16	29411.76
724000	-3.698	33.9996	-4002.203711695951	0.03077523	11.978347	1.982093	0.037319127455720504	0.037319127455720504	2	2	363	16	29411.76
725000	-4.2895	45.7798	-4000.955195896358	0.02673399	26.764765	2.092538	0.038788281173897515	0.038788281173897515	4	4	783	19	29411.76
726000	-4.0775	65.1177	-4008.387668293365	0.01995709	21.466532	3.101776	0.049126930790657525	0.049126930790657525	6	7	825	18	28571.43
727000	-4.032	41.4487	-4005.6804840197074	0.01652058	20.327348	3.018468	0.040017835675040234	0.040017835675040234	2	3	706	15	33333.33
728000	-4.5342	54.3583	-4003.5616936019514	0.01744681	32.884332	2.53645	0.05966694637807999	0.055183869844358135	5	6	953	22	27777.78
729000	-5.244	80.1464	-4000.232206085263	0.01594237	50.628925	2.004534	0.05674257335304333	0.05616824309310853	6	10	684	17	33333.33
730000	-3.5946	38.6209	-4002.3701943703363	0.02884632	9.392667	2.23088	0.04174862535677895	0.04174862535677895	3	3	537	16	31250.0
731000	-3.581	30.9937	-4005.468811540606	0.02124848	9.05267	2.362394	0.042935779322500305	0.042935779322500305	2	2	353	15	28571.43
732000	-4.2051	45.4238	-4004.4483668086054	0.02499185	24.656277	1.733939	0.04291929402729071	0.04291929402729071	3	4	539	16	28571.43
733000	-4.6175	60.9369	-3999.4280415211742	0.02515673	34.96682	2.750038	0.06300220777077377	0.04962718582296259	5	7	683	17	34482.76
734000	-5.6491	77.8176	-4001.725362351177	0.02713205	60.754585	2.865676	0.08326358730342269	0.06595293100259451	8	10	835	18	29411.76
735000	-5.049	79.2494	-4001.3433268867066	0.02841783	45.75302	2.699025	0.057615392042705806	0.04056335022155841	8	10	979	20	31250.0
736000	-5.3009	94.3591	-4005.4474076564	0.02944745	52.051289	2.02943	0.05534710220411231	0.05534710220411231	7	13	1065	23	32258.06
737000	-4.6518	116.5282	-4005.0325814422276	0.0361	35.824239	2.926387	0.07477568300266822	0.03904681008293159	5	17	668	18	29411.76
738000	-4.8972	131.3348	-4003.0549715073475	0.0351894	41.957759	2.24146	0.062245975685137726	0.03825456132069165	9	19	825	20	29411.76
739000	-5.2336	118.5102	-4006.922161709638	0.0350733	50.368548	2.140754	0.09140175878525528	0.06790355400498249	5	17	654	17	33333.33
740000	-4.5483	100.4833	-4003.5898249224265	0.0327305	33.236362	2.218211	0.07204832799987294	0.047113024178020005	5	15	677	17	35714.29
741000	-5.8817	86.2886	-4002.4186915536866	0.02289765	66.570014	1.807202	0.056466955042611934	0.042363419714592274	4	12	680	17	31250.0
742000	-5.4126	117.6689	-4001.920228725966	0.0368603	54.842389	2.495769	0.055421277833158505	0.055421277833158505	5	17	825	18	33333.33
743000	-5.2781	120.7956	-4006.4980196539645	0.02359215	51.479831	2.464881	0.050827429822271425	0.03659140638844609	8	16	789	22	27027.03
744000	-5.4706	91.8087	-4006.1580241572724	0.02748609	56.293327	3.038338	0.051964253083106975	0.051964253083106975	5	11	830	18	31250.0
745000	-4.3937	47.1343	-4006.0674134557244	0.0299462	29.369505	2.725272	0.03752095652769763	0.03752095652769763	3	4	683	17	33333.33
746000	-4.301	39.3732	-4004.414659718236	0.02761165	27.052703	2.626968	0.04077705084486036	0.04077705084486036	2	3	572	15	28571.43
747000	-3.7901	40.2021	-4002.735603532774	0.0320111	14.281639	2.15354	0.035784171507298804	0.035784171507298804	3	3	539	16	30303.03
748000	-3.3888	30.0419	-4001.77113277793	0.0574298	4.248111	2.253288	0.03908251253243582	0.03908251253243582	2	2	539	16	25000.0
749000	-3.4855	45.0274	-4001.2198361914957	0.0419394	6.664564	2.105021	0.04797633293474572	0.04797633293474572	4	5	662	18	28571.43
750000	-3.4089	34.6949	-4004.226876594608	0.02865675	4.750393	1.8514	0.04976225333025064	0.04976225333025064	3	3	539	16	27777.78
751000	-5.1342	63.6224	-4001.746903803805	0.02453103	47.88258	2.481591	0.05031010952881931	0.05031010952881931	5	8	949	20	29411.76
752000	-4.2961	60.6376	-4003.0167377440507	0.01552666	26.929445	2.261522	0.0429452305227436	0.0429452305227436	5	6	539	16	31250.0
753000	-4.286	108.7882	-4001.6273053695513	0.02105607	26.677808	1.879815	0.06429446534533961	0.03730373845673475	4	15	539	16	34482.76
754000	-4.099	60.2889	-4000.7005132500044	0.019124	22.002334	2.191448	0.04114668904726967	0.03551969296209146	4	6	539	16	31250.0
755000	-3.6532	46.5946	-4005.5612355476956	0.0218727	10.859237	2.613051	0.03536708798601433	0.03536708798601433	3	4	542	15	32258.06
756000	-3.8263	53.5442	-4010.844164195408	0.0376488	15.184529	2.086236	0.053903526246435136	0.030476624532725167	6	6	827	18	29411.76
757000	-3.6112	37.7346	-4004.147493239871	0.02937224	9.809196	2.404575	0.041933804071131016	0.041933804071131016	3	3	677	18	28571.43
758000	-4.0376	52.8629	-4002.527888788077	0.02179618	20.466964	2.180105	0.04434954553026416	0.04434954553026416	4	5	539	16	29411.76
759000	-4.5183	39.8958	-4007.4735658003956	0.02990908	32.485907	2.516779	0.03773668540754343	0.03773668540754343	3	3	412	16	28571.43
760000	-3.9425	59.089	-4008.0762075685197	0.02134165	18.089616	2.713476	0.08487799735092771	0.05053074037695782	4	8	683	17	28571.43
761000	-3.8106	44.5563	-4003.052787532037	0.01887922	14.793746	2.664865	0.03853008984890594	0.03853008984890594	3	4	539	16	28571.43
762000	-3.9832	32.671	-4006.6553813345063	0.0381559	19.109091	1.742653	0.036894209509728715	0.036894209509728715	2	2	539	16	30303.03
763000	-3.5327	38.8785	-4008.4526803096933	0.03028327	7.845974	2.087565	0.04103910207288205	0.04103910207288205	3	3	684	17	28571.43
764000	-3.8096	36.3555	-4010.1674273513354	0.02275967	14.767479	2.124736	0.038215364312891104	0.038215364312891104	2	2	540	16	29411.76
765000	-3.5726	33.5117	-4005.0906150076753	0.0198189	8.842975	2.185645	0.03761602574520622	0.03761602574520622	2	2	346	16	29411.76
766000	-4.3678	58.7307	-4004.239718472342	0.0304948	28.722358	2.320219	0.041615339150509044	0.041615339150509044	3	7	662	18	32258.06
767000	-4.2147	39.7215	-4005.6064204809945	0.0332255	24.894829	2.344228	0.03983467945911851	0.03983467945911851	3	3	539	16	29411.76
768000	-4.2128	42.5534	-4009.50694116375	0.02137871	24.846989	2.057869	0.03969072041559033	0.03969072041559033	3	4	749	17	31250.0
769000	-3.9652	45.8376	-4002.3286791961864	0.02788543	18.657365	2.605264	0.052778958545291535	0.04240906947490463	3	4	349	16	29411.76
770000	-4.1176	59.5485	-4002.2183765143727	0.0304048	22.468056	2.184955	0.05851482977899665	0.040128438428460776	5	7	684	17	32258.06
771000	-3.7114	49.2501	-4006.6533442744676	0.02760619	12.31198	3.143654	0.1462167166668965	0.05230515677656513	6	6	632	17	37037.04
772000	-4.1744	36.2297	-4004.0845910100024	0.0296404	23.889117	2.852691	0.045842634742142896	0.045842634742142896	2	3	540	16	31250.0
773000	-4.6661	53.0063	-4007.1672912019067	0.02702752	36.180918	2.865923	0.04215556188035296	0.04215556188035296	5	5	632	20	26315.79
774000	-4.1632	68.2976	-3999.3294310828887	0.02926987	23.607986	2.740155	0.08204988311418632	0.03781785660372065	4	9	537	16	34482.76
775000	-4.3718	52.3454	-4005.5232394337604	0.02792942	28.822373	2.848376	0.03732962663576921	0.03732962663576921	4	5	688	16	31250.0
776000	-4.5085	70.5261	-4001.6627467572016	0.02021115	32.23958	1.968614	0.04420586533960287	0.04420586533960287	4	8	537	16	30303.03
777000	-4.0423	50.2237	-4004.9909194241977	0.0144238	20.58493	2.421168	0.0358942618923425	0.0358942618923425	4	4	833	19	31250.0
778000	-5.453	120.0134	-4006.9166568458613	0.01304248	55.853173	2.640314	0.044217727173532	0.044217727173532	11	14	1253	24	25641.03
779000	-5.5274	117.8935	-4002.65148610549	0.02417503	57.713641	2.744403	0.04700731517620148	0.03920959016813201	7	15	801	19	28571.43
